Date,Discharge,BOD,TSS,OG,pH,Phenols,COD
11/30/2015,,,No data,nil,8,<0.1,60
12/1/2015,,9,50,nil,8,<0.1,57
12/2/2015,,,26,nil,8,<0.1,50
12/3/2015,,,No data,nil,9,<0.1,54
12/4/2015,No discharge,,No data,nil,8,<0.1,92
12/5/2015,No discharge,,31,nil,8,<0.1,91
12/6/2015,No discharge,,48,nil,8,<0.1,82
12/7/2015,No discharge,,46,nil,8,<0.1,74
12/8/2015,No discharge,,16,nil,8,<0.1,70
12/9/2015,No discharge,,54,nil,8,<0.1,70
12/10/2015,,,30,nil,8,<0.1,38
12/11/2015,,,15,nil,8,<0.1,58
12/12/2015,,,28,nil,8,<0.1,59
12/13/2015,,,42,nil,8,<0.1,51
12/14/2015,,10,38,nil,8,<0.1,40
12/15/2015,,,32,nil,8,<0.1,54
12/16/2015,,,22,nil,8,<0.1,60
12/17/2015,No discharge,,44,nil,8,<0.1,128
12/18/2015,No discharge,,No data,nil,7,<0.1,107
12/19/2015,,,36,nil,7,<0.1,58
12/20/2015,No discharge,,28,nil,7,<0.1,92
12/21/2015,,,No data,nil,8,<0.1,60
12/22/2015,No discharge,,No data,nil,7,<0.1,71
12/23/2015,No discharge,,No data,nil,8,<0.1,73
12/24/2015,No discharge,,46,nil,7,<0.1,97
12/25/2015,No discharge,,48,nil,7,<0.1,132
12/26/2015,No discharge,,41,nil,7,<0.1,86
12/27/2015,No discharge,,36,nil,8,<0.1,84
12/28/2015,No discharge,,7,nil,7,<0.1,82
12/29/2015,No discharge,,7,nil,7,<0.1,71
12/30/2015,,,11,nil,7,<0.1,31
12/31/2015,,,28,nil,7,<0.1,53
1/1/2016,,,,nil,8,0.01,60
1/2/2016,,,,nil,8,0.03,11
1/3/2016,,,,nil,8,0.01,20
1/4/2016,,,,nil,8,0.02,34
1/5/2016,,21,17,nil,7,0.01,49
1/6/2016,,,,nil,7,0.01,43
1/7/2016,,,,nil,8,0.02,54
1/8/2016,,,,nil,8,0.02,26
1/9/2016,,,,nil,8,0.01,23
1/10/2016,,,,nil,8,0.01,54
1/11/2016,,,,nil,8,0.01,52
1/12/2016,,27,25,nil,8,0.01,58
1/13/2016,,,,nil,8,0.01,54
1/14/2016,,,,nil,8,0.01,55
1/15/2016,,,,nil,8,0.01,52
1/16/2016,,,,nil,8,0.01,25
1/17/2016,,,,nil,8,0.01,60
1/18/2016,No discharge,,,nil,7,0.01,72
1/19/2016,,30,15,nil,7,0.02,60
1/20/2016,,,,nil,7,0.01,46
1/21/2016,,,,nil,7,0.02,48
1/22/2016,,,,nil,7,0.02,50
1/23/2016,,,,nil,7,0.01,52
1/24/2016,,,,nil,8,0.01,54
1/25/2016,,,,nil,7,0.01,54
1/26/2016,,11,15,nil,7,0.02,22
1/27/2016,,,,nil,8,0.02,19
1/28/2016,,,,nil,8,0.02,23
1/29/2016,,,,nil,8,0.01,60
1/30/2016,,,,nil,8,0.01,15
1/31/2016,,,,nil,8,0.02,29
2/1/2016,,23,11,nil,8,0.01,46
2/2/2016,,,,nil,8,0.01,20
2/3/2016,,,,nil,8,0.02,52
2/4/2016,,,,nil,8,0.01,27
2/5/2016,,,,nil,8,0.01,27
2/6/2016,,,,nil,7,0.02,57
2/7/2016,,,,nil,7,0.02,16
2/8/2016,,9,15,nil,7,0.01,45
2/9/2016,,,,nil,7,0.01,53
2/10/2016,No discharge,,,nil,7,0.01,101
2/11/2016,No discharge,,,nil,7,0.01,122
2/12/2016,No discharge,,,nil,7,0.02,92
2/13/2016,No discharge,,,nil,7,0.01,131
2/14/2016,No discharge,,,nil,7,0.01,114
2/15/2016,,13,11,nil,7,0.02,58
2/16/2016,,,,nil,7,0.01,55
2/17/2016,,,,nil,8,0.01,60
2/18/2016,,,,nil,8,0.01,32
2/19/2016,,,,nil,7,0.01,49
2/20/2016,,,,nil,7,0.01,35
2/21/2016,No discharge,,,nil,7,0.01,64
2/22/2016,,5,21,nil,7,0.02,49
2/23/2016,,,,nil,7,0.01,55
2/24/2016,,,,nil,7,0.01,54
2/25/2016,,,,nil,7,0.01,53
2/26/2016,,,,nil,7,0.01,51
2/27/2016,,,,nil,8,0.01,46
2/28/2016,,,,nil,8,0.01,20
2/29/2016,,10,14,nil,7,0.02,30
3/1/2016,No discharge,127,20,nil,7,0.01,62
3/2/2016,No discharge,,,nil,7,0.02,127
3/3/2016,No discharge,,,nil,7,0.02,112
3/4/2016,No discharge,,,nil,7,0.01,82
3/5/2016,No discharge,,,nil,7,0.01,127
3/6/2016,No discharge,,,nil,7,0.01,108
3/7/2016,No discharge,16,18,nil,7,0.01,103
3/8/2016,No discharge,,,nil,7,0.01,123
3/9/2016,No discharge,,,nil,7,0.01,77
3/10/2016,,,,nil,7,0.01,60
3/11/2016,,,,nil,7,0.01,35
3/12/2016,,,,nil,7,0.01,38
3/13/2016,,,,nil,7,0.01,46
3/14/2016,No discharge,18,35,nil,7,0.02,96
3/15/2016,,,,nil,7,0.01,40
3/16/2016,,,,nil,7,0.01,55
3/17/2016,,,,nil,7,0.01,42
